#  energy  63_YbZnO__5e15__angle=0_deg__O-edge__Mon_SR_Io.dat  64_YbZnO__5e15__angle=45_deg__O-edge__Mon_SR_Io.dat  65_YbZnO__5e15__angle=75_deg__O-edge__Mon_SR_Io.dat
  510.00060      -0.94809218E-01  -0.95280036E-01  -0.12593973
  511.00030      -0.83733117E-01  -0.82997937E-01  -0.10674777
  512.00020      -0.69481814E-01  -0.66789830E-01  -0.74861443E-01
  512.99980      -0.55883808E-02  -0.35264653E-02  -0.14213701E-01
  513.99980      -0.16468813E-01   0.47000012E-02   0.25702879E-01
  515.00030      -0.31220368E-01  -0.42654004E-01  -0.72125189E-01
  515.99950      -0.36643298E-01  -0.36911936E-01  -0.48357565E-01
  517.00080      -0.64487689E-01  -0.61355513E-01  -0.66919523E-01
  518.00080      -0.70710893E-01  -0.66331889E-01  -0.72709650E-01
  519.00040      -0.34564065E-01  -0.29595901E-01  -0.33134658E-01
  519.99940       0.56048921E-02   0.14094925E-03  -0.70615216E-02
  520.99970      -0.96560427E-03  -0.50562276E-02  -0.59959566E-02
  522.00040      -0.96812919E-02  -0.55950642E-02  -0.71718615E-02
  523.00070       0.40245410E-02   0.48814233E-02   0.11072641E-01
  523.99950      -0.22716344E-02   0.70443780E-02   0.13572882E-01
  524.99960       0.23896263E-02   0.11184518E-01   0.24194856E-01
  526.00010       0.89947205E-03   0.17373996E-02   0.53085510E-02
  526.10050       0.28717370E-02   0.41635564E-03   0.29153739E-03
  526.20010       0.33943537E-02  -0.89865581E-03  -0.33845592E-02
  526.29990       0.55263273E-02  -0.15733227E-02  -0.53907407E-02
  526.40020       0.64670668E-02  -0.36715347E-02  -0.52393638E-02
  526.50080       0.75961906E-02  -0.45224674E-02  -0.68743126E-02
  526.60040       0.67938193E-02  -0.31385022E-02  -0.66008990E-02
  526.70010       0.75227467E-02  -0.94925019E-03  -0.67212466E-02
  526.79980       0.79823057E-02   0.36721788E-03  -0.43338017E-02
  526.89950       0.96463543E-02  -0.89656950E-03  -0.43533226E-02
  527.00000       0.12778979E-01   0.23206701E-02  -0.17828052E-03
  527.09980       0.17060290E-01   0.45547149E-02   0.15887118E-02
  527.20030       0.18525004E-01   0.93153710E-02   0.57661745E-02
  527.30010       0.18797802E-01   0.12812466E-01   0.60046716E-02
  527.40080       0.21618086E-01   0.16142494E-01   0.10314033E-01
  527.49960       0.23015292E-01   0.16604202E-01   0.13760004E-01
  527.60030       0.25614006E-01   0.17378674E-01   0.16194609E-01
  527.70000       0.25592234E-01   0.19997045E-01   0.18096653E-01
  527.79990       0.26770334E-01   0.20535527E-01   0.21086844E-01
  527.89970       0.27250575E-01   0.23701125E-01   0.21810217E-01
  528.00050       0.25395076E-01   0.23440429E-01   0.22822634E-01
  528.10030       0.25080725E-01   0.22148578E-01   0.23470174E-01
