# XDI/1.0 Demeter/0.9.26
# Demeter.output_filetype: multicolumn normalized mu(E)
# Element.symbol: O
# Element.edge: K
# Column.1: energy eV
# Column.2: 69_ZnO__ref__angle=0_deg__O-edge__Mon_SR_Io.dat
# Column.3: 70_ZnO__ref__angle=45_deg__O-edge__Mon_SR_Io.dat
# Column.4: 71_ZnO__ref__angle=75_deg__O-edge__Mon_SR_Io.dat
#------------------------
#  energy  69_ZnO__ref__angle=0_deg__O-edge__Mon_SR_Io.dat  70_ZnO__ref__angle=45_deg__O-edge__Mon_SR_Io.dat  71_ZnO__ref__angle=75_deg__O-edge__Mon_SR_Io.dat
  533.90010        1.7536770        1.7968017        1.6641229
  534.00070        1.7837211        1.8283648        1.6925804
  534.10040        1.8102621        1.8543357        1.7174705
  534.20010        1.8375891        1.8814189        1.7422247
  534.29980        1.8590402        1.9066824        1.7647364
  534.40030        1.8787814        1.9279455        1.7822081
  534.50010        1.8990124        1.9448887        1.7992217
  534.59990        1.9161932        1.9625979        1.8111561
  534.70050        1.9339694        1.9798759        1.8260766
  534.80040        1.9525755        1.9939342        1.8416112
  534.90000        1.9745426        2.0147008        1.8571631
  534.99990        1.9956678        2.0346217        1.8744015
  535.10060        2.0161847        2.0567826        1.8925233
  535.20030        2.0419003        2.0834792        1.9135786
  535.29930        2.0620815        2.1077997        1.9368472
  535.40010        2.0819450        2.1320456        1.9573976
  535.49990        2.1015020        2.1537368        1.9812792
  535.59970        2.1185426        2.1765574        2.0020047
  535.70060        2.1361385        2.1947162        2.0224439
  535.80040        2.1567915        2.2124654        2.0386485
  535.90030        2.1810638        2.2323137        2.0567430
  536.00030        2.2059190        2.2537139        2.0739195
  536.10020        2.2321500        2.2747708        2.0873114
  536.19990        2.2644311        2.2985336        2.1001333
  536.29990        2.2985211        2.3222361        2.1160252
  536.40000        2.3414713        2.3481115        2.1238078
  536.50080        2.3951899        2.3742522        2.1301855
  536.59990        2.4574517        2.4054544        2.1332217
  536.70080        2.5446011        2.4473598        2.1286952
  536.79990        2.6494003        2.4923281        2.1232961
  536.90080        2.7927554        2.5500721        2.1118626
  537.00000        2.9496479        2.6182533        2.0981220
  537.10000        3.1421373        2.6960820        2.0907912
  537.20000        3.3218987        2.7799677        2.0896714
  537.30020        3.4797253        2.8521358        2.1010204
  537.40030        3.5754783        2.8974901        2.1171029
  537.50040        3.5954587        2.9077652        2.1322908
  537.60050        3.5309846        2.8636268        2.1333025
  537.69960        3.3949089        2.7810197        2.1128740
  537.79970        3.1936494        2.6499892        2.0698893
  537.89990        2.9517316        2.4904061        2.0087496
  538.00010        2.7060177        2.3278583        1.9406798
  538.10010        2.4558267        2.1624268        1.8614798
  538.20040        2.2219909        2.0049671        1.7882377
  538.29960        2.0137738        1.8684899        1.7228897
  538.40070        1.8211308        1.7459205        1.6616795
  538.50000        1.6618243        1.6419534        1.6115727
  538.59940        1.5045325        1.5477176        1.5639692
  538.70060        1.4077387        1.4751770        1.5254847
  538.80070        1.2963255        1.4133218        1.4975763
  538.90020        1.2117315        1.3675522        1.4813841
  539.00040        1.1421161        1.3404006        1.4792407
  539.10060        1.0813346        1.3274724        1.4953815
  539.20010        1.0387690        1.3329031        1.5247056
  539.30050        1.0022433        1.3543259        1.5781810
  539.39970       0.97599903        1.3899565        1.6467615
  539.50010       0.95832834        1.4411737        1.7247289
  539.60050       0.95125089        1.4938095        1.8088151
  539.69990       0.95123121        1.5453475        1.8828022
  539.80030       0.95924674        1.5879886        1.9385993
  539.89970       0.97386951        1.6071698        1.9681368
  540.00020       0.99142643        1.6097720        1.9650019
  540.10050        1.0149528        1.5908256        1.9285486
  540.20000        1.0387343        1.5608639        1.8735229
  540.29960        1.0668502        1.5209938        1.8020718
  540.40090        1.0944302        1.4795206        1.7208837
  540.50050        1.1235910        1.4421587        1.6410291
  540.60090        1.1492332        1.4020748        1.5656328
  540.70060        1.1749702        1.3703867        1.4983240
  540.80000        1.1949005        1.3420788        1.4364370
  540.89970        1.2095051        1.3190429        1.3887374
  541.00020        1.2207349        1.2960202        1.3405614
  541.10070        1.2280497        1.2752956        1.3011792
