energy	ZnO-0deg	ZnO-45deg	ZnO-75deg
538.7006	3.6688545	3.743745	3.53521
538.8007	3.5374083	3.6702545	3.5064381
538.9002	3.4384107	3.616703	3.4903364
539.0004	3.3558191	3.5836332	3.4868988
539.1006	3.2843308	3.5679396	3.5021649
539.2001	3.23381794	3.5732833	3.5300669
539.3005	3.19026024	3.5970912	3.5814676
539.3997	3.15960963	3.6384705	3.6487083
539.5001	3.13845395	3.6974034	3.7246114
539.6005	3.12975939	3.7581651	3.8066823
539.6999	3.12970554	3.8182006	3.8794519
539.8003	3.13890045	3.8678046	3.9343552
539.8997	3.15565716	3.8900003	3.963426
540.0002	3.17645017	3.8936933	3.9613208
540.1005	3.20378339	3.8717782	3.9260442
540.2	3.23161341	3.8372451	3.872768
540.2996	3.2642551	3.7908224	3.8030292
540.4009	3.296026	3.7421955	3.7234035
540.5005	3.3303489	3.6990941	3.6457864
540.6009	3.3601486	3.6522986	3.5719993
540.7006	3.3902039	3.6153851	3.5062175
540.8	3.4127298	3.5815829	3.4449373
540.8997	3.4294539	3.5543645	3.3979845
541.0002	3.4422301	3.5271419	3.350534
541.1007	3.450318	3.5024731	3.3115853
541.1995	3.4533496	3.4776362	3.274145
541.3001	3.4536608	3.4538881	3.24203105
541.3996	3.4524959	3.4246569	3.20942183
541.5003	3.4491046	3.3990789	3.17664328
541.5999	3.4415244	3.3731403	3.14503235
541.6996	3.4289723	3.3429939	3.11058708
541.8003	3.4164501	3.3108281	3.07763759
541.9	3.3985035	3.2783012	3.04185809
542.0005	3.3835117	3.251808	3.01007685
542.1003	3.3697582	3.22568408	2.9767903
542.2001	3.3587207	3.20285377	2.94617722
542.3007	3.3541321	3.18164428	2.9190619
542.4005	3.3611107	3.16814335	2.89561814
542.4993	3.3748836	3.16269802	2.87384573
542.6	3.3951862	3.16126798	2.85556673
542.6999	3.4243773	3.16661113	2.84079109
542.7996	3.4572714	3.17057972	2.82951803
542.9004	3.4920751	3.18369124	2.81857384
542.9993	3.5209019	3.19324835	2.81097235
543.1002	3.5467586	3.19803787	2.80302892
543.1999	3.561391	3.20356539	2.79809193
543.3008	3.5637994	3.19920686	2.79360586
