#  energy  83_YbZnO__5e14__angle=0_deg__O-edge__Mon_SR_Io.dat  84_YbZnO__5e14__angle=45_deg__O-edge__Mon_SR_Io.dat  85_YbZnO__5e14__angle=75_deg__O-edge__Mon_SR_Io.dat
  534.59990        1.7572680        1.7861440        1.6787585
  534.70050        1.7765252        1.8042334        1.7000404
  534.80040        1.7977726        1.8260707        1.7138992
  534.90000        1.8192292        1.8451172        1.7316854
  534.99990        1.8426400        1.8654410        1.7525816
  535.10060        1.8671946        1.8892604        1.7714180
  535.20030        1.8920364        1.9145528        1.7950211
  535.29930        1.9150416        1.9394814        1.8181470
  535.40010        1.9384316        1.9667441        1.8454522
  535.49990        1.9608677        1.9930019        1.8723113
  535.59970        1.9828462        2.0167801        1.9003658
  535.70060        2.0044145        2.0444199        1.9240648
  535.80040        2.0231094        2.0646811        1.9462616
  535.90030        2.0457696        2.0878992        1.9698654
  536.00030        2.0704941        2.1108537        1.9922075
  536.10020        2.0975106        2.1340802        2.0113037
  536.19990        2.1291379        2.1581555        2.0316403
  536.29990        2.1631831        2.1843151        2.0499863
  536.40000        2.2051256        2.2121830        2.0664545
  536.50080        2.2560848        2.2389650        2.0804833
  536.59990        2.3136409        2.2726834        2.0899780
  536.70080        2.3933494        2.3113561        2.0952131
  536.79990        2.4901602        2.3604058        2.0966463
  536.90080        2.6140633        2.4180114        2.0940415
  537.00000        2.7474221        2.4802605        2.0917713
  537.10000        2.8986822        2.5508072        2.0909250
  537.20000        3.0425520        2.6219717        2.0941245
  537.30020        3.1588282        2.6810794        2.1058464
  537.40030        3.2265107        2.7217686        2.1194131
  537.50040        3.2325197        2.7259524        2.1334231
  537.60050        3.1664424        2.6874317        2.1296237
  537.69960        3.0385855        2.6072243        2.1136480
  537.79970        2.8675388        2.4926385        2.0726547
  537.89990        2.6629773        2.3552608        2.0140821
  538.00010        2.4589943        2.2061278        1.9474227
  538.10010        2.2447400        2.0587467        1.8760181
  538.20040        2.0490738        1.9278715        1.8038553
  538.29960        1.8931605        1.8136407        1.7450842
  538.40070        1.7396440        1.7088327        1.6861726
  538.50000        1.6130918        1.6258839        1.6371693
  538.59940        1.4961465        1.5472753        1.5956893
  538.70060        1.4052373        1.4874103        1.5623879
  538.80070        1.3262612        1.4384597        1.5400650
  538.90020        1.2612706        1.4021702        1.5269070
  539.00040        1.2055397        1.3825213        1.5269052
  539.10060        1.1592545        1.3763189        1.5440265
  539.20010        1.1258315        1.3814658        1.5774312
  539.30050        1.0975004        1.4015160        1.6272973
  539.39970        1.0774935        1.4295552        1.6890002
  539.50010        1.0633546        1.4689861        1.7647361
  539.60050        1.0586267        1.5143234        1.8397331
  539.69990        1.0576184        1.5570350        1.9071372
  539.80030        1.0632571        1.5900943        1.9600824
  539.89970        1.0732642        1.6075227        1.9858365
  540.00020        1.0868736        1.6100492        1.9838177
  540.10050        1.1061619        1.5982620        1.9577610
  540.20000        1.1255400        1.5732707        1.9086956
  540.29960        1.1476604        1.5415923        1.8400811
  540.40090        1.1691581        1.5033968        1.7714573
  540.50050        1.1912183        1.4699855        1.6979737
  540.60090        1.2101460        1.4347817        1.6259392
  540.70060        1.2294786        1.4082283        1.5622551
  540.80000        1.2434182        1.3829229        1.5058727
  540.89970        1.2528903        1.3585784        1.4564124
  541.00020        1.2597977        1.3389078        1.4096812
  541.10070        1.2637725        1.3152735        1.3704159
  541.19950        1.2660585        1.2972963        1.3355650
  541.30010        1.2649289        1.2778082        1.3017423
  541.39960        1.2612844        1.2600985        1.2703082
  541.50030        1.2577027        1.2423250        1.2377370
  541.59990        1.2528806        1.2242023        1.2057150
  541.69960        1.2429678        1.2011791        1.1782318
  541.80030        1.2341298        1.1792963        1.1444588
  541.90000        1.2235336        1.1560842        1.1116728
  542.00050        1.2137964        1.1372735        1.0818875
  542.10030        1.2042231        1.1151223        1.0541275
  542.20010        1.1984661        1.0940127        1.0284643
  542.30070        1.1993371        1.0803934        1.0063022
  542.40050        1.2036860        1.0726607       0.98405730
  542.49930        1.2167839        1.0740292       0.96578036
  542.60000        1.2363427        1.0746639       0.95195058
  542.69990        1.2580777        1.0821528       0.93840731
  542.79960        1.2809714        1.0889744       0.92732723
  542.90040        1.3043826        1.0973843       0.92054806
  542.99930        1.3235640        1.1064863       0.91152794
  543.10020        1.3405178        1.1076598       0.90538146
  543.19990        1.3491201        1.1078537       0.90205794
  543.30080        1.3458125        1.1050949       0.89698301
  543.40070        1.3377568        1.0989504       0.89341725
  543.50050        1.3201964        1.0900034       0.89120298
  543.60040        1.2938542        1.0708820       0.88638915
  543.70040        1.2624843        1.0529260       0.88163273
  543.80030        1.2215741        1.0305541       0.87666213
  543.90030        1.1819667        1.0069984       0.87548132
  544.00030        1.1376740       0.98613545       0.87236622
  544.10040        1.0937796       0.96386958       0.86940634
  544.20020        1.0538260       0.94511554       0.86594043
  544.30020        1.0132175       0.92339694       0.86273823
  544.39930       0.97978006       0.90646410       0.86160894
  544.50020       0.94714547       0.89267165       0.86236632
  544.59940       0.92220809       0.88010949       0.86403425
  544.70030       0.90110715       0.87113042       0.86561830
  544.80030       0.88395662       0.86554358       0.87055185
  544.89950       0.87041640       0.86186839       0.87553869
  545.00060       0.85757089       0.86165232       0.88048554
  545.10060       0.84826096       0.85731632       0.88720219
  545.19990       0.84027370       0.85925663       0.89799158
  545.30000       0.83208844       0.85960904       0.90742404
  545.40010       0.82231170       0.86286277       0.91481825
  545.50030       0.81486424       0.86452532       0.92282289
  545.60040       0.80418777       0.86362901       0.93209822
  545.69960       0.79309177       0.86276513       0.94119473
  545.79980       0.78168686       0.85866206       0.94292235
  545.90010       0.77058186       0.85560083       0.94969042
  546.00010       0.75746493       0.84738709       0.94923128
  546.10040       0.74581093       0.84583141       0.94765428
